Твитнуть;Самоубийство
готовлю обед;Не суицидный пост
Тебе нужны его деньги.;Не суицидный пост
мне потребовалась целая вечность, чтобы собрать эту ерунду. я собираюсь пойти спать на несколько ДНЕЙ;Пост о потенциальном самоубийстве
Привет, Джер! С каких это пор ты начал твиттерить?;Не суицидный пост
"Пробуем «Вкусную библиотеку 2»; с неоднозначными результатами. Штрихкод подумал, что я хочу добавить спортивный бюстгальтер вместо тренировки. Крутое приложение!";Не суицидный пост
О, приятно это слышать. Но неужели все уже закончилось? Или вы продолжите это после Страстной недели?;Не суицидный пост
у тебя есть список других ? Тебе придется поделиться этим, Амиго!;Не суицидный пост
То, что Шейн снял о тебе сериал, не означает, что люди воспринимают тебя всерьез, да… ;Пост о потенциальном самоубийстве
Пришло время расслабиться в варшавском пивном саду;Не суицидный пост
Я ненавижу свою жизнь, я надеюсь, что скоро умру или умру, я слишком устал от всего;Пост о потенциальном самоубийстве
Все, что делает для вас ваш возлюбленный, направлено на ее выживание, все, что делает для вас ваша мать, — на ваше выживание.;Не суицидный пост
В кампусе живет бездомный кот, похожий на Гарфилда. Студенты его постоянно кормят, поэтому он очень толстый. Как я.;Не суицидный пост
находится в пути...;Не суицидный пост
У меня есть ужасная привычка избегать написания статей, просматривая в Instagram прямые трансляции детей, для которых я работала няней… ;Пост о потенциальном самоубийстве
Хаха. Ну, у меня есть еще, но мне не нужно ничего делать, кроме как отложить остальные или удалить их.;Не суицидный пост
Гооооооо, а ты как?;Не суицидный пост
Я хочу сказать, что больше никогда не буду активен. Не совсем уверен, в любом случае у меня нет причин здесь оставаться, всем пока…;Пост о потенциальном самоубийстве
Сосредоточьтесь на возможностях больше, чем на деньгах.;Не суицидный пост
КТОнибудь, ПОЖАЛУЙСТА, УБЕЙ МЕНЯ, Я ТАК ЛЮБЛЮ ;Пост о потенциальном самоубийстве
Я сейчас на той стадии семестра, когда я так устал от всего. Я просто хочу перевернуться и умереть.;Пост о потенциальном самоубийстве
gerruseng,я так хочу умереть, не хочу больше здесь находиться;Пост о потенциальном самоубийстве
И я ненавижу тот факт, что если это правда, что Доджэ сделает операцию, Додже придется терпеть боль в одиночку '( без Сегье   ;Пост о потенциальном самоубийстве
Когда ты устал жить своей жизнью, все, что ты можешь сделать, это закрыть глаза и пойти спать...;Пост о потенциальном самоубийстве
я собираюсь покончить с собой прямо сейчас, мне жаль, что ты в таком отчаянии;Пост о потенциальном самоубийстве
наслаждайся, я просто не могу вникнуть в это в этом сезоне, но рад узнать, что ты в деле.;Не суицидный пост
Пятно крови на ковре? Готов пойти! ;Не суицидный пост
Я чертовски хочу, чтобы эта часть моей жизни закончилась.;Пост о потенциальном самоубийстве
Я ОЧЕНЬ ОЧЕНЬ голоден! Не смей никто в моей ленте говорить о еде  Или я тебя серьезно съем!;Не суицидный пост
Мама всегда хотела, чтобы все вернулись домой до наступления темноты – как будто ночью было чтото, чего не было днем.;Не суицидный пост
Думаю, ты сделаешь все, что захочешь.;Не суицидный пост
это звучит так ужасно, именно таким я был, когда мой отец еще жил со мной, но я надеюсь, что все станет лучше… ;Пост о потенциальном самоубийстве
Нет, только один, незадолго до начала судейства мыльной премии....;Не суицидный пост
Только что разговаривал с  о том, насколько «зависимыми» мы сегодня от Интернета и мобильных телефонов.;Не суицидный пост
