Твитнуть,Самоубийство
готовлю обед,Не суицидный пост
@Alexia Тебе нужны его деньги.,Не суицидный пост
"@dizzyhrvy мне потребовалась целая вечность, чтобы собрать эту ерунду. я собираюсь пойти спать на несколько ДНЕЙ",Пост о потенциальном самоубийстве
"@jnaylor #kiwitweets Привет, Джер! С каких это пор ты начал твиттерить?",Не суицидный пост
"Пробуем «Вкусную библиотеку 2»; с неоднозначными результатами. Штрих-код подумал, что я хочу добавить спортивный бюстгальтер вместо тренировки. Крутое приложение!",Не суицидный пост
"@ValenValdez О, приятно это слышать. Но неужели все уже закончилось? Или вы продолжите это после Страстной недели?",Не суицидный пост
"@mcm180 у тебя есть список других #красоток? Тебе придется поделиться этим, Амиго!",Не суицидный пост
"@jakepaul @jamescharles @LoganPaul То, что Шейн снял о тебе сериал, не означает, что люди воспринимают тебя всерьез, да… https://t.co/D5rA0nua0U",Пост о потенциальном самоубийстве
Пришло время расслабиться в варшавском пивном саду,Не суицидный пост
"Я ненавижу свою жизнь, я надеюсь, что скоро умру или умру, я слишком устал от всего",Пост о потенциальном самоубийстве
"Все, что делает для вас ваш возлюбленный, направлено на ее выживание, все, что делает для вас ваша мать, — на ваше выживание.",Не суицидный пост
"В кампусе живет бездомный кот, похожий на Гарфилда. Студенты его постоянно кормят, поэтому он очень толстый. Как я.",Не суицидный пост
находится в пути...,Не суицидный пост
"У меня есть ужасная привычка избегать написания статей, просматривая в Instagram прямые трансляции детей, для которых я работала няней… https://t.co/NpfZu06gwy",Пост о потенциальном самоубийстве
"@rivensky Хаха. Ну, у меня есть еще, но мне не нужно ничего делать, кроме как отложить остальные или удалить их.",Не суицидный пост
"@Turbizzle Гооооооо, а ты как?",Не суицидный пост
"@AkwesiQuan,,RT @animeesay: Я хочу сказать, что больше никогда не буду активен. Не совсем уверен, в любом случае у меня нет причин здесь оставаться, всем пока…",Пост о потенциальном самоубийстве
"Сосредоточьтесь на возможностях больше, чем на деньгах.",Не суицидный пост
"КТО-нибудь, ПОЖАЛУЙСТА, УБЕЙ МЕНЯ, Я ТАК ЛЮБЛЮ https://t.co/WbVmmKzDDh",Пост о потенциальном самоубийстве
"Я сейчас на той стадии семестра, когда я так устал от всего. Я просто хочу перевернуться и умереть.",Пост о потенциальном самоубийстве
"@sadegsi,ger/rus/eng,я так хочу умереть, не хочу больше здесь находиться",Пост о потенциальном самоубийстве
"И я ненавижу тот факт, что если это правда, что Доджэ сделает операцию, Додже придется терпеть боль в одиночку :'( без Сегье ðððð aâ¦ https://t.co/B4hM6MjQRe",Пост о потенциальном самоубийстве
"RT @Soulwhisperer3: Когда ты устал жить своей жизнью, все, что ты можешь сделать, это закрыть глаза и пойти спать...",Пост о потенциальном самоубийстве
"я собираюсь покончить с собой прямо сейчас, мне жаль, что ты в таком отчаянии",Пост о потенциальном самоубийстве
"@earlydetection, наслаждайся, я просто не могу вникнуть в это в этом сезоне, но рад узнать, что ты в деле.",Не суицидный пост
@JohnsHopkins Пятно крови на ковре? Готов пойти! http://short.to/3uqb,Не суицидный пост
"Я чертовски хочу, чтобы эта часть моей жизни закончилась.",Пост о потенциальном самоубийстве
Я ОЧЕНЬ ОЧЕНЬ голоден! Не смей никто в моей ленте говорить о еде :@ Или я тебя серьезно съем!,Не суицидный пост
"Мама всегда хотела, чтобы все вернулись домой до наступления темноты – как будто ночью было что-то, чего не было днем.",Не суицидный пост
"@gailia Думаю, ты сделаешь все, что захочешь.",Не суицидный пост
"@domselinakyle это звучит так ужасно, именно таким я был, когда мой отец еще жил со мной, но я надеюсь, что все станет лучше… https://t.co/oAh2tUnbXt",Пост о потенциальном самоубийстве
"@garry1bowie Нет, только один, незадолго до начала судейства мыльной премии....",Не суицидный пост
"@swingie Только что разговаривал с @tonimassaar о том, насколько «зависимыми» мы сегодня от Интернета и мобильных телефонов.",Не суицидный пост
"@jrkgirlnla О да, я читала это",Не суицидный пост
Моя жизнь так несчастна и не становится лучше.,Пост о потенциальном самоубийстве
"@LaPrincipessa, ты, САУ! я встал в 8. потом поехал в Оффенбах, домой. снаружи. солнечный свет. люблю тебя.",Не суицидный пост
Она не устала.,Не суицидный пост
"RT @tamicakeyona: Быть одинокой мамой никогда не входило в мои планы, но я просыпаюсь каждый день и занимаюсь своим дерьмом...",Пост о потенциальном самоубийстве
"Но Безос, де Блазио и Куомо зашли в наш маленький лего-городок, разбили все наши лего-башенки… https://t.co/WQqDasF7n4",Пост о потенциальном самоубийстве
я хочу денег,Не суицидный пост
"@HeavenlyHev, как всё прошло, так что я знаю, чего ожидать?",Не суицидный пост
"Ммм, кулинарные способности мамочки улучшаются. Так хорошо пахнет! я люблю домашнюю еду!",Не суицидный пост
"мне нужно отдохнуть, я сегодня разбил свой мотоцикл, не знаю как, но в целом со мной все в порядке, это был самый прекрасный момент в моей жизни, я знаю, больно думать об этом, но мне было приятно видеть, как люди подходят ко мне, чтобы помочь я после аварии ощущение, как мое тело протащили на велосипеде несколько метров по земле, я смотрю на небо, пока эта песня играет в наушниках, я просто чувствовал пустоту последние годы, я не хочу этого второго шанса, я хочу получить на моем сломанном велосипеде принеси его набери скорость в последний раз, а потом просто покончим со всем, я просто не хочу больше тонуть, пожалуйста",Пост о потенциальном самоубийстве
Чистю зубы. Светское.,Не суицидный пост
"я буду в Лондоне сегодня. Помаши рукой, если увидишь меня",Не суицидный пост
"@PeoplemapsJulie Я ищу берокку, тогда все будет хорошо",Не суицидный пост
"@nellypt Спасибо, я так и думал. Передайте это. Хорошего дня, обожаю твои вещи",Не суицидный пост
я хочу умереть. я не заслуживаю ни кусочка чего-либо. я никому не принадлежу. мне все надоело. са… https://t.co/8hbfNffXii,Пост о потенциальном самоубийстве
"Я чертовски ненавижу всю свою семью, все, что они делают, это заставляют меня чувствовать себя толстым, и мне надоело плохо себя чувствовать из-за своего тела и… https://t.co/eXWykCGcrf",Пост о потенциальном самоубийстве
@meerajane Мне тоже нравится твой блог! Мода это &lt;3,Не суицидный пост
"@Madierawrk Сожалею о твоей утрате. Этот пост вызвал у меня мурашки по коже, потому что, хотя я и не думал о самоубийстве, твой отец… https://t.co/VNpWHS2zqu",Пост о потенциальном самоубийстве
"@MarkusLarockus Ха-ха, я начал что-то с Rocquestar, не так ли??",Не суицидный пост
"фото оба черно-белые. и оооочень старый. мы зовем его Герберт, лол. Я люблю его, он как живая легенда. должен любить Берлин &lt;3",Не суицидный пост
"@ErikAbele Тот, кого мы искали?",Не суицидный пост
он хочет убить ее.,Не суицидный пост
"ты - пойми, что, черт возьми, я делаю не так в своей жизни",Пост о потенциальном самоубийстве
"@RachelStarrxxx Ой, мне бы очень хотелось быть там, чтобы подарить тебе немного серьезного внимания, Рэйчел, хен....шлю тебе огромные ОБНИМАНИЯ И ПОЦЕЛУИ",Не суицидный пост
"Ищу помощь по тестированию PDF-файлов Prawn с Cucumber. Все, что я могу найти, это рецепты салатов с креветками и огурцами! http://tinyurl.com/cnnn6z",Не суицидный пост
"@JoannaButler, он должен сказать им, что его сестра это исправила.",Не суицидный пост
